feedback_id,rater,goal_alignment,grounding_specificity,actionability,explanatory_rationale,feed_forward,constructive_framing,learner_agency
F01,r1,2,2,2,2,2,2,1
F01,r2,2,2,2,2,2,2,2
F02,r1,0,0,0,0,0,1,1
F02,r2,0,0,0,0,0,2,1
F03,r1,0,0,0,0,0,1,1
F03,r2,0,0,0,0,1,1,1
F04,r1,0,0,2,1,1,1,0
F04,r2,0,0,2,2,1,1,0
F05,r1,2,2,0,1,0,2,1
F05,r2,2,2,1,1,0,2,1
F06,r1,2,2,2,1,2,2,1
F06,r2,2,1,2,1,2,2,1
F07,r1,0,0,0,0,0,0,0
F07,r2,1,0,0,0,0,0,0
F08,r1,2,2,2,1,2,2,2
F08,r2,2,2,2,1,2,2,1
F09,r1,0,1,0,0,0,1,1
F09,r2,0,1,0,0,0,2,1
F10,r1,0,0,2,0,1,2,1
F10,r2,0,0,2,0,2,2,1
F11,r1,0,0,1,1,1,1,1
F11,r2,0,0,1,2,1,1,1
F12,r1,2,2,2,1,1,2,1
F12,r2,2,2,1,1,1,2,1
F13,r1,1,1,2,0,2,2,2
F13,r2,1,2,2,0,2,2,2
F14,r1,2,2,0,2,0,2,1
F14,r2,1,2,0,2,0,2,1
F15,r1,2,2,2,2,2,2,1
F15,r2,2,2,2,2,2,2,2
F16,r1,2,2,2,1,2,2,1
F16,r2,2,2,2,1,2,1,1
F17,r1,2,2,2,2,1,2,1
F17,r2,2,2,2,2,2,2,1
F18,r1,0,1,0,0,0,1,1
F18,r2,0,1,0,1,0,1,1
F19,r1,2,2,2,2,2,2,1
F19,r2,2,2,1,2,2,2,1
F20,r1,2,2,2,2,1,2,2
F20,r2,2,1,2,2,1,2,2
