feedback_id,task_goal,rubric_criterion,learner_work,identified_issue,supporting_evidence,expected_standard,reference_verdict,feedback_text
F01,Interpret statistical evidence accurately,Distinguish correlation from causation,The results prove that screen time causes lower sleep quality.,causation claim from correlational evidence,the study reports correlation only,Use association language when causal identification is absent,supports,"Replace 'causes' with 'is associated with' because the study reports correlation, then verify the claim against the causation criterion."
F02,Explain the argument with evidence,Use evidence to support each claim,The policy is effective.,claim lacks evidence,no source or example is provided,Claims should be supported with relevant evidence,not_provided,Good job.
F03,Explain the argument with evidence,Use evidence to support each claim,The policy is effective.,claim lacks evidence,no source or example is provided,Claims should be supported with relevant evidence,not_provided,This is wrong.
F04,Interpret statistical evidence accurately,Distinguish correlation from causation,The study reports an association between variables.,causal inference is not identified,observational correlation only,Do not claim causation without an identification strategy,contradicts,Definitely revise this to say the variable causes the outcome because the relationship is strong.
F05,Report the regression result accurately,Report coefficient values correctly,The coefficient is 0.24.,coefficient transposed,reference output shows coefficient 0.42,Coefficient should match the model output,supports,"The coefficient is 0.42, not 0.24."
F06,Compare two design alternatives,State a criterion and compare both alternatives,Option A is better.,comparison criterion is missing,neither cost nor performance is compared,Comparison should use an explicit criterion,supports,"Compare Option A and Option B on cost, then check whether the conclusion still follows from that criterion."
F07,Explain the algorithm clearly,Describe each processing step,The algorithm sorts and returns the result.,intermediate step is omitted,the partition step is not described,Explain the intermediate partition step,not_provided,You are lazy and careless.
F08,Justify the design choice,Connect the selected method to the stated requirement,We chose a dashboard.,choice is not justified,the response does not mention the monitoring requirement,Justification should connect the method to the requirement,supports,"You could explain how the dashboard supports the monitoring requirement, then check whether that reason justifies the design choice."
F09,Evaluate the evidence cautiously,Match certainty to the strength of evidence,The small sample suggests an improvement.,certainty exceeds evidence strength,small exploratory sample,Use cautious language for exploratory evidence,not_provided,This definitely proves the intervention always works.
F10,Interpret the experiment results,Explain the effect estimate and uncertainty,The treatment effect estimate is 2.1 with a wide interval.,uncertainty is not interpreted,the confidence interval is wide,Interpret both estimate and uncertainty,supports,Add more colors to the slide and change the font.
F11,Explain the mechanism,Connect the mechanism to observed evidence,The model improved.,mechanism is unspecified,no mechanism evidence is given,Explanation should connect mechanism and evidence,not_provided,Revise this because it is weak.
F12,Use precise causal language,Avoid causal claims from correlational data,Exercise causes better grades.,causal wording is unsupported,the dataset is observational,Use association language for observational evidence,supports,Replace 'causes' with 'is associated with'; the dataset is observational.
F13,,,,,,,not_provided,"Consider revising the second sentence, then check it again."
F14,Explain why the result matters,Interpret the result in relation to the research question,The coefficient is statistically significant.,practical meaning is missing,no interpretation of magnitude is provided,"Explain substantive meaning, not significance alone",supports,The practical meaning of the coefficient is missing because magnitude is not interpreted.
F15,Explain the model limitation,Identify a limitation and its consequence,The model performs well.,distribution shift limitation omitted,evaluation uses only one source domain,State the limitation and consequence for generalization,supports,"Add the distribution-shift limitation because evaluation uses one source domain, then explain how that limits generalization."
F16,Write a concise evidence-based conclusion,State the conclusion and one supporting result,The intervention appears useful.,supporting result is absent,mean completion increased from 61% to 74%,Conclusion should cite the key result,supports,"Add the 61% to 74% completion result, then verify that the conclusion matches this evidence."
F17,Explain the calculation,Show the formula and substitute the given values,The answer is 24.,calculation steps are missing,no formula or substitution is shown,"Show formula, substitution, and result",supports,Show the formula and substitute the given values because the current answer only states 24.
F18,Use respectful task-focused feedback,Address the work rather than the person,The paragraph has three unsupported claims.,claims lack support,no citations appear in the paragraph,Critique the claims and identify evidence needs,supports,The paragraph is weak and bad.
F19,Check numerical consistency,Ensure totals match component values,"The components are 12, 18, and 15; total reported as 40.",reported total is inconsistent,12 + 18 + 15 equals 45,Total should equal 45,supports,"Check the total: 12 + 18 + 15 equals 45, then replace 40 with 45."
F20,Discuss limitations proportionately,Avoid overstating what the study establishes,This proves the approach is universally effective.,universal claim exceeds study scope,single-site pilot only,Limit conclusions to the studied setting,supports,Consider limiting 'universally effective' to the single-site pilot because the evidence comes from one setting.
